epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.17734,1.20029,2.34142,1.57443,0.76008,0.83333,0.88893,0.62952,1.43153,1.39866,1.27495,0,0,0
2,5.15289,0.90969,2.25488,1.27072,0.79374,0.75,0.87504,0.64089,1.45975,1.40784,1.28807,1.07219e-06,1.07219e-06,1.07219e-06
3,7.36126,0.88812,1.9186,1.20908,0.77435,0.75,0.87513,0.62046,1.47361,1.4378,1.29538,1.90876e-06,1.90876e-06,1.90876e-06
4,9.60603,1.16119,2.45477,1.49415,0.73198,0.75,0.87462,0.62292,1.49835,1.46443,1.30771,2.50971e-06,2.50971e-06,2.50971e-06
5,11.5675,0.87219,1.67093,1.14565,0.72182,0.75,0.87471,0.61046,1.51806,1.48706,1.31545,2.87504e-06,2.87504e-06,2.87504e-06
6,13.5784,1.02864,1.83381,1.39123,0.70618,0.75,0.88875,0.61093,1.52981,1.52939,1.32094,3.00475e-06,3.00475e-06,3.00475e-06
7,15.5569,0.83476,2.24901,1.23013,0.68766,0.75,0.88888,0.60829,1.5317,1.56208,1.33004,2.89884e-06,2.89884e-06,2.89884e-06
8,17.5804,0.84072,1.70478,1.23694,0.67106,0.75,0.88925,0.59741,1.54244,1.64949,1.35058,2.55731e-06,2.55731e-06,2.55731e-06
9,19.4324,0.88591,3.26457,1.34819,0.69425,0.75,0.83374,0.58719,1.53799,1.67004,1.34891,1.98016e-06,1.98016e-06,1.98016e-06
10,21.2837,0.94882,2.15262,1.30491,0.71297,0.75,0.7618,0.5875,1.53254,1.69718,1.33986,1.16739e-06,1.16739e-06,1.16739e-06
